Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
5043411105,NFL $400K Play-Action [20 Entry Max],187209830,$3,Caleb Williams (41519687),James Cook III (41519711),RJ Harvey (41519715),Davante Adams (41519819),Brandin Cooks (41519849),DJ Moore (41519829),Colby Parkinson (41519975),Christian McCaffrey (41519709),49ers (41520058),,1. Column A lists all of your contest entries for this draftgroup
5043482021,NFL $75K First Down [20 Entry Max],187222970,$1,Caleb Williams (41519687),James Cook III (41519711),Christian McCaffrey (41519709),Jauan Jennings (41519825),Christian Kirk (41519847),Rashid Shaheed (41519845),Dalton Schultz (41519973),RJ Harvey (41519715),Seahawks (41520053),,2. Your current lineup is listed next to each entry (blank for reservations)
5042055170,$2K T-Mobile Game Day Draft Challenge,187262641,$0,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,WR,Tank Dell (41519917),Tank Dell,41519917,WR/FLEX,3000,HOU@NE 01/18/2026 03:00PM ET,HOU,0
,,,,,,,,,,,,,,WR,Quintez Cephus (41519919),Quintez Cephus,41519919,WR/FLEX,3000,HOU@NE 01/18/2026 03:00PM ET,HOU,0
,,,,,,,,,,,,,,WR,Jared Wayne (41519921),Jared Wayne,41519921,WR/FLEX,3000,HOU@NE 01/18/2026 03:00PM ET,HOU,4
,,,,,,,,,,,,,,WR,Josh Kelly (41519923),Josh Kelly,41519923,WR/FLEX,3000,HOU@NE 01/18/2026 03:00PM ET,HOU,0
,,,,,,,,,,,,,,WR,Trent Sherfield Sr. (41541737),Trent Sherfield Sr.,41541737,WR/FLEX,3000,HOU@NE 01/18/2026 03:00PM ET,NE,0.42
,,,,,,,,,,,,,,WR,Jahdae Walker (41519881),Jahdae Walker,41519881,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,CHI,2.97
,,,,,,,,,,,,,,WR,Tutu Atwell (41519883),Tutu Atwell,41519883,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,LAR,2.84
,,,,,,,,,,,,,,WR,Xavier Smith (41519889),Xavier Smith,41519889,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,LAR,2.84
,,,,,,,,,,,,,,WR,Jordan Whittington (41519891),Jordan Whittington,41519891,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,LAR,2.14
,,,,,,,,,,,,,,WR,Tyler Scott (41519893),Tyler Scott,41519893,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,LAR,0
,,,,,,,,,,,,,,WR,Brennan Presley (41519895),Brennan Presley,41519895,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,LAR,0
,,,,,,,,,,,,,,WR,Tru Edwards (41519897),Tru Edwards,41519897,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,LAR,0
,,,,,,,,,,,,,,WR,Devin Duvernay (41519899),Devin Duvernay,41519899,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,CHI,0.26
,,,,,,,,,,,,,,WR,JP Richardson (41519901),JP Richardson,41519901,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,CHI,0
,,,,,,,,,,,,,,WR,Maurice Alexander (41519903),Maurice Alexander,41519903,WR/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,CHI,0
,,,,,,,,,,,,,,TE,Cole Kmet (41519987),Cole Kmet,41519987,TE/FLEX,3000,LAR@CHI 01/18/2026 06:30PM ET,CHI,4.64
,,,,,,,,,,,,,,DST,Rams  (41520054),Rams ,41520054,DST,3000,LAR@CHI 01/18/2026 06:30PM ET,LAR,7.89
,,,,,,,,,,,,,,DST,Broncos  (41520055),Broncos ,41520055,DST,2800,BUF@DEN 01/17/2026 04:30PM ET,DEN,8.41
,,,,,,,,,,,,,,TE,Terrance Ferguson (41519989),Terrance Ferguson,41519989,TE/FLEX,2700,LAR@CHI 01/18/2026 06:30PM ET,LAR,3.72
,,,,,,,,,,,,,,DST,Bills  (41520056),Bills ,41520056,DST,2600,BUF@DEN 01/17/2026 04:30PM ET,BUF,6.39
,,,,,,,,,,,,,,TE,Elijah Arroyo (41519991),Elijah Arroyo,41519991,TE/FLEX,2600,SF@SEA 01/17/2026 08:00PM ET,SEA,2.92
,,,,,,,,,,,,,,TE,Adam Trautman (41520033),Adam Trautman,41520033,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,DEN,2.68
,,,,,,,,,,,,,,TE,Nate Adkins (41520035),Nate Adkins,41520035,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,DEN,1.87
,,,,,,,,,,,,,,TE,Lucas Krull (41520037),Lucas Krull,41520037,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,DEN,1.17
,,,,,,,,,,,,,,TE,Marcedes Lewis (41520039),Marcedes Lewis,41520039,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,DEN,0
,,,,,,,,,,,,,,TE,Caleb Lohner (41520041),Caleb Lohner,41520041,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,DEN,0
,,,,,,,,,,,,,,TE,Mitchell Fraboni (41520043),Mitchell Fraboni,41520043,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,DEN,0
,,,,,,,,,,,,,,TE,Patrick Murtagh (41520045),Patrick Murtagh,41520045,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,DEN,0
,,,,,,,,,,,,,,TE,Jackson Hawes (41520047),Jackson Hawes,41520047,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,BUF,2.93
,,,,,,,,,,,,,,TE,Keleki Latu (41520049),Keleki Latu,41520049,TE/FLEX,2500,BUF@DEN 01/17/2026 04:30PM ET,BUF,1.5
,,,,,,,,,,,,,,TE,George Kittle (41519993),George Kittle,41519993,TE/FLEX,2500,SF@SEA 01/17/2026 08:00PM ET,SF,13.84
,,,,,,,,,,,,,,TE,Eric Saubert (41520025),Eric Saubert,41520025,TE/FLEX,2500,SF@SEA 01/17/2026 08:00PM ET,SEA,0.83
,,,,,,,,,,,,,,TE,Nick Kallerup (41520027),Nick Kallerup,41520027,TE/FLEX,2500,SF@SEA 01/17/2026 08:00PM ET,SEA,0
,,,,,,,,,,,,,,TE,Luke Farrell (41520029),Luke Farrell,41520029,TE/FLEX,2500,SF@SEA 01/17/2026 08:00PM ET,SF,1.69
,,,,,,,,,,,,,,TE,Brayden Willis (41520031),Brayden Willis,41520031,TE/FLEX,2500,SF@SEA 01/17/2026 08:00PM ET,SF,0
,,,,,,,,,,,,,,TE,Austin Hooper (41520009),Austin Hooper,41520009,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,NE,3.49
,,,,,,,,,,,,,,TE,CJ Dippre (41520011),CJ Dippre,41520011,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,NE,0
,,,,,,,,,,,,,,TE,Marshall Lang (41520013),Marshall Lang,41520013,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,NE,0
,,,,,,,,,,,,,,TE,Cade Stover (41520015),Cade Stover,41520015,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,HOU,2.36
,,,,,,,,,,,,,,TE,Harrison Bryant (41520017),Harrison Bryant,41520017,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,HOU,0.21
,,,,,,,,,,,,,,TE,Brevin Jordan (41520019),Brevin Jordan,41520019,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,HOU,0
,,,,,,,,,,,,,,TE,Luke Lachey (41520021),Luke Lachey,41520021,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,HOU,0
,,,,,,,,,,,,,,TE,Jakob Johnson (41520023),Jakob Johnson,41520023,TE/FLEX,2500,HOU@NE 01/18/2026 03:00PM ET,HOU,0
,,,,,,,,,,,,,,TE,Davis Allen (41519995),Davis Allen,41519995,TE/FLEX,2500,LAR@CHI 01/18/2026 06:30PM ET,LAR,3.49
,,,,,,,,,,,,,,TE,Nick Vannett (41519997),Nick Vannett,41519997,TE/FLEX,2500,LAR@CHI 01/18/2026 06:30PM ET,LAR,0
,,,,,,,,,,,,,,TE,Mark Redman (41519999),Mark Redman,41519999,TE/FLEX,2500,LAR@CHI 01/18/2026 06:30PM ET,LAR,0
,,,,,,,,,,,,,,TE,Durham Smythe (41520001),Durham Smythe,41520001,TE/FLEX,2500,LAR@CHI 01/18/2026 06:30PM ET,CHI,0.45
,,,,,,,,,,,,,,TE,Thomas Gordon (41520003),Thomas Gordon,41520003,TE/FLEX,2500,LAR@CHI 01/18/2026 06:30PM ET,CHI,0
,,,,,,,,,,,,,,TE,Nikola Kalinic (41520005),Nikola Kalinic,41520005,TE/FLEX,2500,LAR@CHI 01/18/2026 06:30PM ET,CHI,0
,,,,,,,,,,,,,,TE,Stephen Carlson (41520007),Stephen Carlson,41520007,TE/FLEX,2500,LAR@CHI 01/18/2026 06:30PM ET,CHI,0
,,,,,,,,,,,,,,DST,Bears  (41520057),Bears ,41520057,DST,2400,LAR@CHI 01/18/2026 06:30PM ET,CHI,6.44
,,,,,,,,,,,,,,DST,49ers  (41520058),49ers ,41520058,DST,2200,SF@SEA 01/17/2026 08:00PM ET,SF,4.44
